"","chi","df","p_value"
"Kruskal-Wallis chi-squared.249",46.2024062975692,5,8.25987525203162e-09
"Kruskal-Wallis chi-squared.250",48.3010415121572,5,3.08319194814077e-09
"Kruskal-Wallis chi-squared.251",44.8668741695938,5,1.5441603400013e-08
"Kruskal-Wallis chi-squared.252",43.2470277901385,5,3.29264446706688e-08
"Kruskal-Wallis chi-squared.253",51.8377927264043,5,5.82422413456725e-10
"Kruskal-Wallis chi-squared.254",46.6084227252787,5,6.82759549567067e-09
"Kruskal-Wallis chi-squared.255",53.6823309022091,5,2.43574913076691e-10
"Kruskal-Wallis chi-squared.256",42.2794968698354,5,5.17099600015297e-08
"Kruskal-Wallis chi-squared.257",40.116273436785,5,1.41487259449881e-07
"Kruskal-Wallis chi-squared.258",42.1403375170552,5,5.51751831014183e-08
"Kruskal-Wallis chi-squared.259",56.2208898377743,5,7.3183978096305e-11
"Kruskal-Wallis chi-squared.260",47.2658652687965,5,5.01476584754757e-09
"Kruskal-Wallis chi-squared.261",39.4639344658943,5,1.9151958250113e-07
"Kruskal-Wallis chi-squared.262",55.800809655908,5,8.93142277636944e-11
"Kruskal-Wallis chi-squared.263",44.7240918525251,5,1.65086393181318e-08
"Kruskal-Wallis chi-squared.264",51.1503435764563,5,8.05656209001488e-10
"Kruskal-Wallis chi-squared.265",51.4024410128878,5,7.15299483546851e-10
"Kruskal-Wallis chi-squared.266",42.8650142175009,5,3.93531943357298e-08
"Kruskal-Wallis chi-squared.267",50.1514618831062,5,1.29033814267352e-09
"Kruskal-Wallis chi-squared.268",50.075591554289,5,1.33730614844192e-09
"Kruskal-Wallis chi-squared.269",55.1146546509585,5,1.23635274791278e-10
"Kruskal-Wallis chi-squared.270",50.6519437422482,5,1.01916080550754e-09
"Kruskal-Wallis chi-squared.271",49.4201469299561,5,1.82101504931976e-09
"Kruskal-Wallis chi-squared.272",49.8724998395732,5,1.4715937886235e-09
"Kruskal-Wallis chi-squared.273",58.8097494816372,5,2.14080982433854e-11
"Kruskal-Wallis chi-squared.274",58.0289936555125,5,3.10243988302722e-11
"Kruskal-Wallis chi-squared.275",41.5830891163268,5,7.15287597779482e-08
"Kruskal-Wallis chi-squared.276",51.4574868844474,5,6.96956277535642e-10
"Kruskal-Wallis chi-squared.277",56.3000639077456,5,7.04868912677912e-11
"Kruskal-Wallis chi-squared.278",50.26832942523,5,1.22118994480014e-09
"Kruskal-Wallis chi-squared.279",52.4886052226567,5,4.28290425986264e-10
"Kruskal-Wallis chi-squared.280",39.8437924802412,5,1.60569172087094e-07
"Kruskal-Wallis chi-squared.281",41.2619105628195,5,8.30635065093408e-08
"Kruskal-Wallis chi-squared.282",47.4356688852912,5,4.63039368578838e-09
"Kruskal-Wallis chi-squared.283",42.5984347073235,5,4.45644451790839e-08
"Kruskal-Wallis chi-squared.284",60.9228103838778,5,7.83382087663986e-12
"Kruskal-Wallis chi-squared.285",53.8838528007372,5,2.21423925061218e-10
"Kruskal-Wallis chi-squared.286",47.1177165420598,5,5.37601432818019e-09
"Kruskal-Wallis chi-squared.287",41.9070322715705,5,6.15115273418274e-08
"Kruskal-Wallis chi-squared.288",56.2786723810185,5,7.12056630467589e-11
"Kruskal-Wallis chi-squared.289",40.3462471162616,5,1.27151878690736e-07
"Kruskal-Wallis chi-squared.290",49.8110895455344,5,1.51478817627806e-09
"Kruskal-Wallis chi-squared.291",55.7602104589891,5,9.10498403056419e-11
"Kruskal-Wallis chi-squared.292",48.7695275771127,5,2.47345881205372e-09
"Kruskal-Wallis chi-squared.293",50.7637919752911,5,9.66799878595756e-10
"Kruskal-Wallis chi-squared.294",57.966133944323,5,3.19647301476345e-11
"Kruskal-Wallis chi-squared.295",47.383892092166,5,4.74437494694723e-09
"Kruskal-Wallis chi-squared.296",60.3212134792219,5,1.04316635672011e-11
"Kruskal-Wallis chi-squared.297",54.9749584731151,5,1.32093879531367e-10
"Kruskal-Wallis chi-squared.298",57.3862475265336,5,4.2098345379422e-11
"Kruskal-Wallis chi-squared.299",45.5447769751176,5,1.12417695896431e-08
"Kruskal-Wallis chi-squared.300",52.9515420439328,5,3.44128455187217e-10
"Kruskal-Wallis chi-squared.301",62.7557795219596,5,3.27074011139531e-12
"Kruskal-Wallis chi-squared.302",47.2623880562473,5,5.02296073234574e-09
"Kruskal-Wallis chi-squared.303",50.51495567485,5,1.08715981639834e-09
"Kruskal-Wallis chi-squared.304",61.3390113392854,5,6.42524035017027e-12
"Kruskal-Wallis chi-squared.305",53.4375752296734,5,2.73471852251392e-10
"Kruskal-Wallis chi-squared.306",52.9900888291364,5,3.37914451489295e-10
