"","Comp","Z","p_value"
"1.17","Electrona antarctica - Electrona carlsbergi","2.26710498485602","0.350757197113265"
"2.17","Electrona antarctica - Gymnoscopelus braueri","-0.159457508403743","1"
"3.17","Electrona carlsbergi - Gymnoscopelus braueri","-2.44920748196489","0.214756424027077"
"4.17","Electrona antarctica - Gymnoscopelus nicholsi","4.8344339326942","2.00287559790386e-05"
"5.17","Electrona carlsbergi - Gymnoscopelus nicholsi","2.72055713277816","0.0977580131322375"
"6.17","Gymnoscopelus braueri - Gymnoscopelus nicholsi","5.02180853798558","7.67807932076672e-06"
"7.17","Electrona antarctica - Krefftichthys anderssoni","-0.573050420825954","1"
"8.17","Electrona carlsbergi - Krefftichthys anderssoni","-2.85086156809372","0.0654014208916629"
"9.17","Gymnoscopelus braueri - Krefftichthys anderssoni","-0.418999585197307","1"
"10.17","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-5.38467282294159","1.08864811744143e-06"
"11.17","Electrona antarctica - Protomyctophum bolini","2.11281198634961","0.519252950142369"
"12.17","Electrona carlsbergi - Protomyctophum bolini","-0.242529611184808","1"
"13.17","Gymnoscopelus braueri - Protomyctophum bolini","2.30197362469845","0.320049894448893"
"14.17","Gymnoscopelus nicholsi - Protomyctophum bolini","-3.02824090015497","0.036897286920238"
"15.17","Krefftichthys anderssoni - Protomyctophum bolini","2.72097320989576","0.0976350545021814"
"1.18","Electrona antarctica - Electrona carlsbergi","2.87170579183995","0.0612394294449212"
"2.18","Electrona antarctica - Gymnoscopelus braueri","0.340158533552065","1"
"3.18","Electrona carlsbergi - Gymnoscopelus braueri","-2.57588081175038","0.149977657621478"
"4.18","Electrona antarctica - Gymnoscopelus nicholsi","5.00874698651248","8.21783062576384e-06"
"5.18","Electrona carlsbergi - Gymnoscopelus nicholsi","2.3556853415496","0.277328569019446"
"6.18","Gymnoscopelus braueri - Gymnoscopelus nicholsi","4.75949700669208","2.91114005209728e-05"
"7.18","Electrona antarctica - Krefftichthys anderssoni","-0.282722358650059","1"
"8.18","Electrona carlsbergi - Krefftichthys anderssoni","-3.18078154387212","0.0220317512225064"
"9.18","Gymnoscopelus braueri - Krefftichthys anderssoni","-0.63102347168269","1"
"10.18","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-5.30597936355354","1.6810445535527e-06"
"11.18","Electrona antarctica - Protomyctophum bolini","2.9612413279386","0.0459602628160115"
"12.18","Electrona carlsbergi - Protomyctophum bolini","-0.0304585309821295","1"
"13.18","Gymnoscopelus braueri - Protomyctophum bolini","2.65534676884076","0.118840377916648"
"14.18","Gymnoscopelus nicholsi - Protomyctophum bolini","-2.45989924901905","0.208464035825422"
"15.18","Krefftichthys anderssoni - Protomyctophum bolini","3.28637024052345","0.0152231280162187"
"1.19","Electrona antarctica - Electrona carlsbergi","2.9552011040679","0.0468697952011468"
"2.19","Electrona antarctica - Gymnoscopelus braueri","0.861280357891273","1"
"3.19","Electrona carlsbergi - Gymnoscopelus braueri","-2.15430058385754","0.468249106894531"
"4.19","Electrona antarctica - Gymnoscopelus nicholsi","4.79911560152841","2.39051689501834e-05"
"5.19","Electrona carlsbergi - Gymnoscopelus nicholsi","2.07673898921104","0.567384839550998"
"6.19","Gymnoscopelus braueri - Gymnoscopelus nicholsi","4.09060260189365","0.000645380724492571"
"7.19","Electrona antarctica - Krefftichthys anderssoni","-0.593769406292888","1"
"8.19","Electrona carlsbergi - Krefftichthys anderssoni","-3.56734869409391","0.00540917215967745"
"9.19","Gymnoscopelus braueri - Krefftichthys anderssoni","-1.47407082985076","1"
"10.19","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-5.36718538752202","1.19962264159274e-06"
"11.19","Electrona antarctica - Protomyctophum bolini","3.13354985264462","0.0259058367396397"
"12.19","Electrona carlsbergi - Protomyctophum bolini","0.0523772869225405","1"
"13.19","Gymnoscopelus braueri - Protomyctophum bolini","2.30197362469845","0.320049894448892"
"14.19","Gymnoscopelus nicholsi - Protomyctophum bolini","-2.09703496406304","0.539857205117193"
"15.19","Krefftichthys anderssoni - Protomyctophum bolini","3.77604445454922","0.00239007848239867"
"1.20","Electrona antarctica - Electrona carlsbergi","2.45955871871476","0.208661909665608"
"2.20","Electrona antarctica - Gymnoscopelus braueri","-0.488863150764109","1"
"3.20","Electrona carlsbergi - Gymnoscopelus braueri","-2.96387125781247","0.0455693034402488"
"4.20","Electrona antarctica - Gymnoscopelus nicholsi","4.67379249094011","4.4353214201326e-05"
"5.20","Electrona carlsbergi - Gymnoscopelus nicholsi","2.39304422802351","0.25063840126545"
"6.20","Gymnoscopelus braueri - Gymnoscopelus nicholsi","5.14859244477744","3.93672645844845e-06"
"7.20","Electrona antarctica - Krefftichthys anderssoni","-1.89906549070972","0.863337985963376"
"8.20","Electrona carlsbergi - Krefftichthys anderssoni","-4.33336651533607","0.000220269498133595"
"9.20","Gymnoscopelus braueri - Krefftichthys anderssoni","-1.42863713988961","1"
"10.20","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-6.38582850071178","2.55707951686552e-09"
"11.20","Electrona antarctica - Protomyctophum bolini","2.57571083887034","0.150051396905522"
"12.20","Electrona carlsbergi - Protomyctophum bolini","0.0122403442264639","1"
"13.20","Gymnoscopelus braueri - Protomyctophum bolini","3.10463548067884","0.028577048259451"
"14.20","Gymnoscopelus nicholsi - Protomyctophum bolini","-2.45989924901905","0.208464035825422"
"15.20","Krefftichthys anderssoni - Protomyctophum bolini","4.53327262056845","8.7115168719025e-05"
"1.21","Electrona antarctica - Electrona carlsbergi","1.68530254326766","1"
"2.21","Electrona antarctica - Gymnoscopelus braueri","0.608980813344561","1"
"3.21","Electrona carlsbergi - Gymnoscopelus braueri","-1.11415598377622","1"
"4.21","Electrona antarctica - Gymnoscopelus nicholsi","4.30427919820551","0.00025129542249433"
"5.21","Electrona carlsbergi - Gymnoscopelus nicholsi","2.71723634286937","0.0987443717598286"
