"MyNumber","ID","sciname","Label","SL","Stage","Sex","Station","Muscle","Otolith","Lat_dec.x.x","Long_dec.x","Year.x","Weight.x","Min_Depth","Max_Depth","DIC","Suess","Depth_Mid","d13C","d18O","d13C_musc","d13C_musc_SD","d18O_SW","sd_d18O_SW","mean_M","sd_M","se_M","mean_Temp","sd_Temp","se_Temp"
"BAS_130","#66","Gymnoscopelus nicholsi","GYN",124,"2","F","JR177/334/2",1,"Y",-52.64,-39.09,2008,23.2,406.9,719.6,1.9,-0.11,563.25,-2.87,3.48,-24.94,0,-0.226325338,0.673572454,0.165288575354322,0.00997868348581511,0.000182185001312841,1.51829652913719,2.30639242307182,0.0297753981479205
"BAS_145","#15","Krefftichthys anderssoni","KRA",38,"3","F","JR177/328/1",1,"C",-52.72,-39.08,2008,0.7,204.1,405,1.9,-0.11,304.55,-3.61,3.94,-24.16,0,-0.168690234,0.675927267,0.19820353842633,0.0111393169361766,0.000203375172038108,0.735958237027304,2.3070179514938,0.0297834736851235
"BAS_146","25","Krefftichthys anderssoni","KRA",40,"1","F","JR16003/129/1",1,"C",-54.68,-45.22,2016,0.7,195.6,406.8,1.85,-0.1,301.2,-3.83,3.57,-27.36,0,-0.221522412,0.673768368,0.180422646741008,0.0105132351820175,0.00019194453538493,1.40528259352236,2.29898381854286,0.0296797534747227
"BAS_151","48","Krefftichthys anderssoni","KRA",44,"1","F","JR16003/146/2",1,"C",-53.95,-49.19,2016,1,398.3,707.9,1.9,-0.1,553.1,-5.07,3.44,-27.23,0,-0.197507786,0.674748812,0.224069785278869,0.011379199069748,0.000207754800561426,1.75770516445865,2.33645572339039,0.03016351368614
"BAS_152","43","Krefftichthys anderssoni","KRA",70,"3",NA,"JR16003/113/1",1,"C",-55.29,-41.35,2016,3.7,196.7,398,1.85,-0.09,297.35,-4.39,3.77,-27.09,0,-0.348799933,0.66859658,0.200689114541745,0.0108527096346772,0.000198142462565545,0.727733983514779,2.339084720522,0.0301974538931664
"BAS_153","47","Krefftichthys anderssoni","KRA",43,"1","M","JR16003/146/1",1,"C",-53.94,-49.17,2016,1,699.1,991.1,1.9,-0.1,845.1,-4.28,3.5,-27.74,0,-0.161485846,0.676222208,0.194077152202385,0.0105207448732714,0.000192081642961586,1.72588385564748,2.32988835876349,0.0300787293733784
"BAS_155","33","Krefftichthys anderssoni","KRA",47,NA,"M","JR16003/147/1",1,"C",-53.96,-49.24,2016,1.3,198.3,398.5,1.9,-0.1,298.4,-3.25,3.36,-27.5,0,-0.257544352,0.672300445,0.160903768392374,0.0100930090060172,0.000184272290189947,1.79775437751528,2.29249532848695,0.0295959874282942
"BAS_156","40","Krefftichthys anderssoni","KRA",35,NA,"F","JR16003/129/2",1,"C",-54.66,-45.2,2016,0.5,82,208,1.85,-0.1,145,-4.49,3.72,-26.76,0,-0.329588232,0.669374557,0.206360199982948,0.0109694113195437,0.000200273134075553,0.891061277210687,2.29057304596288,0.0295711708676194
"BAS_165","54","Krefftichthys anderssoni","KRA",41,"1","F","JR16003/129/2",1,"C",-54.66,-45.2,2016,0.9,82,208,1.85,-0.1,145,-4.24,3.6,-27.05,0,-0.329588232,0.669374557,0.195977962460663,0.0107195598793152,0.00019571149174761,1.10851581384358,2.29905695911645,0.0296806977154676
"BAS_166","45","Krefftichthys anderssoni","KRA",42,NA,"M","JR16003/147/1",1,"C",-53.96,-49.24,2016,0.7,198.3,398.5,1.9,-0.1,298.4,-4.04,3.64,-28.06,0,-0.257544352,0.672300445,0.18414646507123,0.0102553725400672,0.000187236629193796,1.19178799636755,2.30582620631034,0.0297680883209619
